'a'bo'cun 阿波村
'hou'mu'shi 厚木市
'hou'tian'cun 厚田村
'hou'ze'bu'ding 厚沢部町
'hou'zhen'ding 厚真町
'hu'bei'ding 湖北町
'hu'cang'ding 戸仓町
'hu'dong'ding 湖东町
'hu'he'nei'ding 戸河内町
'hu'jing'ding 戸井町
'hu'ling'ding 湖陵町
'hu'tian'cun 戸田村
'hu'tian'shi 戸田市
'hu'xi'shi 湖西市
'hu'yin'cun 戸隠村
'hu'ze'cun 戸沢村
'hu'zhen'ding 虎姫町
'hu'zhong'qu 戸塚区
'hu'zi'ding 呼子町
'hua'chuan'shi 滑川市
'hua'juan'shi 花巻市
'hua'quan'ding 花泉町
'hua'shan'cun 花山村
'hua'yuan'cun 花园村
'huang'chuan'ding 荒川町
'huang'chuan'qu 荒川区
'huang'jia'nei'ding 幌加内町
'huang'wei'shi 荒尾市
'huang'yan'ding 幌延町
'hui'bei'ding 辉北町
'hui'jian'ding 会见町
'hui'jin'ban'xia'ding 会津坂下町
'hui'jin'ben'xiang'ding 会津本郷町
'hui'jin'gao'tian'ding 会津高田町
'hui'jin'ruo'song'shi 会津若松市
'hui'na'shi 恵那市
'hui'shan'ding 恵山町
'hui'ting'shi 恵庭市
'ji'bao'ding 纪宝町
'ji'bei'ding 吉备町
'ji'bu'ding 矶部町
'ji'chuan'cun 吉川村
'ji'chuan'ding 吉川町
'ji'chuan'shi 吉川市
'ji'dan'ding 积丹町
'ji'dao'ding 寄岛町
'ji'fu'ding 吉富町
'ji'hai'ding 吉海町
'ji'he'cun 吉和村
'ji'he'ding 纪和町
'ji'jing'ding 吉井町
'ji'liang'ding 吉良町
'ji'lun'ding 箕轮町
'ji'mian'shi 箕面市
'ji'shan'ding 基山町
'ji'she'ding 吉舎町
'ji'shi'ding 纪势町
'ji'song'ding 吉松町
'ji'tian'cun 吉田村
'ji'tian'ding 吉田町
'ji'ye'ding 吉野町
'ji'ye'gu'cun 吉野谷村
'ji'yi'chang'dao'ding 纪伊长岛町
'ji'yong'ding 吉永町
'ji'zhen'cun 嵴振村
'ji'zi'qu 矶子区
'jia'dao'ding 嘉岛町
'jia'dao'ding 家岛町
'jia'ding 岬町
'jia'fu'shi 甲府市
'jia'gu'chuan'shi 加古川市
'jia'he'ding 甲贺町
'jia'he'shi 加贺市
'jia'ji'ding 加计町
'jia'jin'zuo'ding 加津佐町
'jia'liang'ding 甲良町
'jia'mao'chuan'ding 加茂川町
'jia'mao'ding 加茂町
'jia'mao'shi 加茂市
'jia'mei'ding 加美町
'jia'nan'ding 甲南町
'jia'nu'ding 甲奴町
'jia'shan'ding 甲山町
'jia'shi'tian'shi 加世田市
'jia'shou'na'ding 嘉手纳町
'jia'sui'ding 嘉穂町
'jia'tian'ding 甲田町
'jia'xi'ding 甲西町
'jia'xi'shi 加西市
'jia'xu'shi 加须市
'jia'yue'ding 加悦町
'jia'zhi'chuan'cun 加治川村
'jia'zhi'mu'ding 加治木町
'jia'zi'mu'cun 加子母村
'jia'zuo'ding 甲佐町
'jian'bu'ding 建部町
'jian'fu'shi 见附市
'jian'shan'ding 兼山町
'jian'yuan'ding 剣渊町
'jian'zao'shi 谏早市
'jiang'bei'ding 江北町
'jiang'bie'shi 江别市
'jiang'cha'ding 江差町
'jiang'ci'shi 江刺市
'jiang'dong'qu 江东区
'jiang'fu'ding 江府町
'jiang'hu'chuan'qu 江戸川区
'jiang'jin'shi 江津市
'jiang'nan'shi 江南市
'jiang'tian'dao'ding 江田岛町
'jiang'ying'ding 江迎町
'jiang'yuan'shi 橿原市
'jiao'chuan'cun 鲛川村
'jiao'guan'ding 角馆町
'jiao'tian'shi 角田市
'jiao'ye'shi 交野市
'jie'cheng'jun 结城郡
'jie'cheng'shi 结城市
'jie'lai'cun 皆瀬村
'jie'shang'ding 阶上町
'jie'shi 堺市
'jin'bie'ding 今别町
'jin'bie'ding 津别町
'jin'cheng'ding 金城町
'jin'cheng'ding 金成町
'jin'chuan'ding 津川町
'jin'dao'ding 津岛町
'jin'dao'shi 津岛市
'jin'ding 锦町
'jin'fan'ding 津幡町
'jin'feng'ding 金峰町
'jin'gu'ding 金谷町
'jin'guang'ding 金光町
'jin'gui'ren'cun 今帰仁村
'jin'he'ye'ding 津和野町
'jin'jiang'ba'fan'shi 近江八幡市
'jin'jiang'ding 近江町
'jin'jin'ding 今津町
'jin'jin'ding 今金町
'jin'jin'ding 金津町
'jin'jing'ding 金井町
'jin'jiu'jian'shi 津久见市
'jin'jiu'jing'jun 津久井郡
'jin'ju'cun 津具村
'jin'li'ding 今立町
'jin'ming'ding 津名町
'jin'mu'ding 金木町
'jin'nai'mu'ding 津奈木町
'jin'nan'ding 津南町
'jin'pu'ding 金浦町
'jin'qi'ding 金崎町
'jin'shan'ding 津山町
'jin'shan'ding 金山町
'jin'shan'shi 津山市
'jin'shi 津市
'jin'shi'shi 今市市
'jin'tian'ding 金田町
'jin'wu'ding 金屋町
'jin'wu'ding 金武町
'jin'wu'qi'ding 津屋崎町
'jin'ze'qu 金沢区
'jin'ze'shi 金沢市
'jin'zhi'shi 今治市
'jin'zhuang'ding 今庄町
'jing'bei'ding 京北町
'jing'bo'ding 井波町
'jing'cheng'cun 颈城村
'jing'chuan'cun 境川村
'jing'chuan'ding 井川町
'jing'cun 镜村
'jing'ding 镜町
'jing'du'fu 京都府
'jing'du'shi 京都市
'jing'fa'si'ding 浄法寺町
'jing'gang'shi 境港市
'jing'gang'shi 静冈市
'jing'gang'xian 静冈县
'jing'hua'ding 精华町
'jing'ji'ding 京极町
'jing'kou'cun 井口村
'jing'lai'cun 京瀬村
'jing'nei'ding 静内町
'jing'shi'ding 镜石町
'jing'shou'ding 井手町
'jing'tian'dao'shi 京田辺市
'jing'ye'ding 镜野町
'jing'yuan'shi 井原市
'jiu'bao'tian'ding 久保田町
'jiu'chong'ding 九重町
'jiu'chu'shi 臼杵市
'jiu'ci'jun 久慈郡
'jiu'ci'shi 久慈市
'jiu'du'shan'ding 九度山町
'jiu'fu'ding 鹫敷町
'jiu'gu'shi 鸠谷市
'jiu'he'ding 久贺町
'jiu'hu'cun 九戸村
'jiu'jing'ding 久井町
'jiu'ju'shi 久居市
'jiu'ke'ding 玖珂町
'jiu'lai'cun 久瀬村
'jiu'liu'mi'shi 久留米市
'jiu'mei'bang'ding 久美浜町
'jiu'mi'dao'ding 久米岛町
'jiu'mi'ding 久米町
'jiu'mi'nan'ding 久米南町
'jiu'mu'ye'cun 久木野村
'jiu'qi'shi 韮崎市
'jiu'shan'ding 久山町
'jiu'shan'ding 韮山町
'jiu'shi'ding 久世町
'jiu'tian'ding 臼田町
'jiu'tian'shi 酒田市
'jiu'wan'ding 久万町
'jiu'xi'shi 久喜市
'jiu'ye'ding 久野町
'jiu'yu'shan'ding 久御山町
'jiu'zhu'ding 久住町
'jiu'zhu'ding 玖珠町
'ju'chi'shi 菊池市
'ju'chuan'ding 菊川町
'ju'ding 橘町
'ju'gen'shi 驹根市
'ju'jian'ding 菊间町
'ju'lu'ding 菊鹿町
'ju'shui'ding 菊水町
'ju'yang'ding 菊阳町
'ju'ye'shi 裾野市
'ju'zhi'an'ding 倶知安町
'ju'zhi'chuan'shi 具志川市
'ju'zhi'tou'cun 具志头村
'juan'ding 巻町
'jue'shi 蕨市
'jun'jia'ding 郡家町
'jun'jin'shi 君津市
'jun'shan'ding 郡山町
'jun'shan'shi 郡山市
'jun'tian'cun 君田村
'kai'tian'cun 开田村
'kai'wen'ding 开闻町
'ke'er'shi 可児市
'kou'he'ding 口和町
'kou'zhi'jin'ding 口之津町
'ku'jin'cun 堀金村
'ku'zhi'nei'ding 堀之内町
'lai'feng'ding 瀬峰町
'lai'gao'ding 瀬高町
'lai'gu'qu 瀬谷区
'lai'hu'ding 瀬戸町
'lai'hu'nei'ding 瀬戸内町
'lai'hu'shi 瀬戸市
'lai'hu'tian'ding 瀬戸田町
'lai'peng'ding 瀬棚町
'lan'yue'ding 兰越町
'lan'zhu'ding 蓝住町
'lang'gang'ding 浪冈町
'lang'he'cun 浪合村
'lang'jiang'ding 浪江町
'li'bang'ding 豊浜町
'li'bei'ding 豊北町
'li'bo'shi 砺波市
'li'chuan'ding 立川町
'li'chuan'shi 立川市
'li'chuan'shi 豊川市
'li'cun 里村
'li'dao'qu 豊岛区
'li'ding 豊町
'li'dong'shi 栗东市
'li'fu'cun 豊富村
'li'fu'ding 利府町
'li'fu'ding 豊富町
'li'gang'cun 豊冈村
'li'gang'shi 笠冈市
'li'gang'shi 豊冈市
'li'gen'cun 豊根村
'li'gen'jun 利根郡
'li'he'cun 利贺村
'li'hou'gao'tian'shi 豊后高田市
'li'hua'ding 立花町
'li'jian'cheng'shi 豊见城市
'li'jian'shi 笠间市
'li'jin'ding 豊津町
'li'ju'ding 栗驹町
'li'kao'ding 利尻町
'li'kao'fu'shi'ding 利尻富士町
'li'ke'ding 立科町
'li'ke'ding 豊科町
'li'li'ding 笠利町
'li'li'ding 豊里町
'li'ming'shi 豊明市
'li'mu'shi 栃木市
'li'mu'xian 栃木县
'li'neng'ding 豊能町
'li'ping'ding 豊平町
'li'pu'ding 豊浦町
'li'qian'shi 豊前市
'li'qiao'shi 豊桥市
'li'qing'ding 豊顷町
'li'qiu'cun 豊丘村
'li'rong'ding 豊栄町
'li'rong'shi 豊栄市
'li'sha'ding 笠沙町
'li'shan'ding 栗山町
'li'shan'ding 立山町
'li'shan'ding 豊山町
'li'song'cun 豊松村
'li'song'ding 笠松町
'li'tian'cun 立田村
'li'tian'cun 豊田村
'li'tian'ding 豊田町
'li'tian'shi 豊田市
'li'wei'shi 栃尾市
'li'wen'ding 礼文町
'li'xiang'ding 豊郷町
'li'ye'ding 栗野町
'li'ye'ding 豊野町
'li'yu'ding 豊玉町
'li'yuan'ding 笠原町
'li'ze'ding 栗沢町
'li'zhi'ding 笠置町
'li'zhong'ding 豊中町
'li'zhong'shi 豊中市
'li'zhuang'ding 里庄町
'lian'cang'shi 鎌仓市
'lian'gu'shi 鎌谷市
'lian'ma'qu 练马区
'lian'tian'shi 莲田市
'liang'chuan'ding 梁川町
'liang'jin'shi 両津市
'ling'bei'ding 苓北町
'ling'bu'shi 绫部市
'ling'ding 绫町
'ling'ge'ding 绫歌町
'ling'lai'shi 绫瀬市
'ling'lu'shi 铃鹿市
'ling'nan'ding 绫南町
'ling'shan'ding 霊山町
'ling'shang'ding 绫上町
'ling'yi'ding 菱刈町
'liu'chuan'shi 柳川市
'liu'dao'rui'ding 留辺蘂町
'liu'gu'cun 柳谷村
'liu'hu'ding 六戸町
'liu'jin'ding 柳津町
'liu'jing'shi 柳井市
'liu'meng'shi 留萌市
'liu'ri'ding 六日町
'liu'ri'shi'ding 六日市町
'liu'shan'shi 流山市
'liu'shou'dou'cun 留寿都村
'liu'suo'cun 六所村
'liu'tian'cun 柳田村
'liu'xiang'ding 六郷町
'long'bei'ding 竜北町
'long'chuan'shi 滝川市
'long'gen'ding 滝根町
'long'qi'shi 龙崎市
'long'shan'cun 龙山村
'long'shang'ding 滝上町
'long'shen'cun 龙神村
'long'wang 竜王
'long'wang'ding 竜王町
'long'xiang'ding 龙郷町
'long'yang'ding 竜洋町
'long'ye'ding 滝野町
'long'ye'shi 龙野市
'long'yue'ding 龙岳町
'long'ze'cun 滝沢村
'lu'an'cun 芦安村
'lu'bei'ding 芦北町
'lu'bei'ding 鹿北町
'lu'ben'ding 鹿本町
'lu'bie'ding 陆别町
'lu'bie'shi 芦别市
'lu'bu'ding 鹿部町
'lu'chuan'cun 芦川村
'lu'dao'cun 鹿岛村
'lu'dao'ding 芦辺町
'lu'dao'ding 鹿岛町
'lu'dao'jun 鹿岛郡
'lu'dao'shi 鹿岛市
'lu'dao'shi 鹿嶋市
'lu'dao'tai'ding 鹿岛台町
'lu'ding'ding 鹿町町
'lu'er'dao'shi 鹿児岛市
'lu'er'dao'xian 鹿児岛县
'lu'jiao'shi 鹿角市
'lu'lai'ding 鹿瀬町
'lu'qian'gao'tian'shi 陆前高田市
'lu'wu'ding 芦屋町
'lu'wu'shi 芦屋市
'lu'wu'shi 鹿屋市
'lu'xi'ding 鹿西町
'lu'yang'ding 鹿央町
'lu'ye'ding 鹿野町
'lu'yi'ding 芦刈町
'lu'yuan'ding 芦原町
'lu'zhao'shi 鹿沼市
'lu'zhui'ding 鹿追町
'lun'dao'shi 轮岛市
'lun'zhi'nei'ding 轮之内町
'luo'he'ding 落合町
'luo'jiu'ding 罗臼町
'lv'ding 緑町
'lv'qu 緑区
'ma'ji'cun 麻绩村
'ma'lai'cun 马瀬村
'ma'lu'cun 马路村
'mai'mu'cun 売木村
'man'nong'ding 満浓町
'mao'qi'shi 茅崎市
'mao'ye'shi 茅野市
'mao'yuan'shi 茂原市
'mei'bang'ding 美浜町
'mei'bao'wan'ding 美保関町
'mei'bei'niu'ding 妹背牛町
'mei'bei'shi 美呗市
'mei'bing'cun 美并村
'mei'chuan'cun 美川村
'mei'chuan'ding 美川町
'mei'dong'ding 美东町
'mei'du'ding 美都町
'mei'fang'ding 美方町
'mei'fang'shi 枚方市
'mei'gan'cun 美甘村
'mei'he'ding 美和町
'mei'huang'ding 美幌町
'mei'jin'dao'ding 美津岛町
'mei'li'cun 美里村
'mei'li'ding 美里町
'mei'ma'cun 美麻村
'mei'ma'ding 美马町
'mei'mi'shi 美祢市
'mei'nong'jia'mao'shi 美浓加茂市
'mei'nong'shi 美浓市
'mei'shan'cun 美山村
'mei'shan'cun 美杉村
'mei'shan'ding 美山町
'mei'shen'ding 美深町
'mei'tu'li'ding 美土里町
'mei'xiang'cun 美郷村
'mei'xing'ding 美星町
'mei'ying'ding 美瑛町
'mei'yuan'ding 美原町
'mei'zuo'ding 美作町
'men'bie'ding 门别町
'men'chuan'ding 门川町
'men'qian'ding 门前町
'men'zhen'shi 门真市
'meng'qian'ding 梦前町
'meng'tian'ding 虻田町
'mi'fu'ding 弥富町
'mi'rong'cun 弥栄村
'mi'rong'ding 弥栄町
'mi'shan'ding 米山町
'mi'sheng'ding 弥生町
'mi'shui'jin'cun 米水津村
'mi'yan'cun 弥彦村
'mi'yuan'ding 米原町
'mi'ze'shi 米沢市
'mi'zi'shi 米子市
'mian'he'cun 面河村
'mian'tian'ding 免田町
'miao'gao'cun 妙高村
'miao'gao'gao'yuan'ding 妙高高原町
'ming'bang'ding 明浜町
'ming'bao'cun 明宝村
'ming'chuan'ding 名川町
'ming'gu'wu'shi 名古屋市
'ming'he'ding 名和町
'ming'he'ding 明和町
'ming'hu'shi 名护市
'ming'ji'shi 名寄市
'ming'ke'ding 明科町
'ming'lai'ding 鸣瀬町
'ming'lai'shi 名瀬市
'ming'li'ding 名立町
'ming'men'shi 鸣门市
'ming'qu'shi 名取市
'ming'ri'xiang'cun 明日香村
'ming'shi'shi 明石市
'ming'tian'zhuang'cun 名田庄村
'ming'ye'cun 明野村
'ming'ze'cun 鸣沢村
'ming'zhang'shi 名张市
'ming'zhi'ding 明智町
'ming'zi'ding 鸣子町
'mo'ji'ding 末吉町
'mo'tian'qu 墨田区
'mo'yu'ding 墨俣町
'mou'li'cun 牟礼村
'mou'li'ding 牟礼町
'mou'qi'ding 牟岐町
'mu'bie'ding 幕别町
'mu'ceng'chuan'ding 木曽川町
'mu'ceng'fu'dao'ding 木曽福岛町
'mu'ceng'jia'ding 木曽岬町
'mu'cheng'ding 木城町
'mu'ci'ding 木次町
'mu'cun 牧村
'mu'dao'ping'cun 木岛平村
'mu'geng'jin'shi 木更津市
'mu'gu'nei'ding 木古内町
'mu'hei'qu 目黒区
'mu'jiang'ding 木江町
'mu'jin'ding 木津町
'mu'lu'ding 牡鹿町
'mu'qiu'ding 牧丘町
'mu'tou'cun 木头村
'mu'wu'ping'cun 木屋平村
'mu'yuan'ding 牧园町
'mu'zao'ding 木造町
'mu'ze'cun 木沢村
'mu'zhi'ben'ding 木之本町
'mu'zu'cun 木祖村
'na'ba'shi 那覇市
'na'he'chuan'ding 那贺川町
'na'he'ding 那贺町
'na'ke'chuan'ding 那珂川町
'na'ke'jun 那珂郡
'na'shi'ding 雫石町
'na'xu'jun 那须郡
'na'zhi'sheng'pu'ding 那智胜浦町
'nai'ban'li'ding 奈半利町
'nai'chuan'cun 奈川村
'nai'jing'jiang'ding 奈井江町
'nai'liang'shi 奈良市
'nai'liang'wei'ding 奈良尾町
'nai'liang'xian 奈良县
'nai'liu'ding 奈留町
'nai'yi'ding 奈义町
'nan'bu'chuan'cun 南部川村
'nan'bu'ding 南部町
'nan'chuan'shan'ding 南串山町
'nan'da'dong'cun 南大东村
'nan'dan'ding 南澹町
'nan'dao'ding 南岛町
'nan'ding 楠町
'nan'fang'ding 南方町
'nan'feng'yuan'ding 南风原町
'nan'fu'liang'ye'ding 南富良野町
'nan'guang'ding 南光町
'nan'guo'shi 南国市
'nan'huang'ding 南幌町
'nan'ji'lun'cun 南箕轮村
'nan'lu'shi 男鹿市
'nan'mao'bu'ding 南茅部町
'nan'mu'ceng'ding 南木曽町
'nan'mu'cun 南牧村
'nan'nong'ding 南浓町
'nan'qi'yu'jun 南埼玉郡
'nan'qu 南区
'nan'shan'cheng'cun 南山城村
'nan'shi'ding 南势町
'nan'tiao'ding 南条町
'nan'wai'cun 南外村
'nan'wan'ding 南関町
'nan'xiang'cun 南郷村
'nan'xiang'ding 南郷町
'nan'xiang'mu'cun 南相木村
'nan'xiao'guo'ding 南小国町
'nan'xin'nong'cun 南信浓村
'nan'yang'shi 南阳市
'nan'yi'dou'ding 南伊豆町
'nan'you'ma'ding 南有马町
'nan'zhi'duo'ding 南知多町
'nan'zhong'zi'ding 南种子町
'nan'zu'bing'shi 南足柄市
'nei'hai'cun 内海村
'nei'hai'ding 内海町
'nei'pu'ding 内浦町
'nei'tan'ding 内滩町
'nei'zhi'pu'ding 内之浦町
'nei'zi'ding 内子町
'neng'dai'shi 能代市
'neng'deng'chuan'ding 能登川町
'neng'deng'dao'ding 能登岛町
'neng'dou'ding 能都町
'neng'mei'ding 能美町
'neng'sheng'ding 能生町
'neng'shi'ding 能势町
'ni'qi'shi 尼崎市
'nian'ri'shi'shi 廿日市市
'niao'hai'ding 鸟海町
'niao'qi'shi 鸟栖市
'niao'qu'shi 鸟取市
'niao'qu'xian 鸟取县
'niao'wu'ding 鸟屋町
'niao'yu'shi 鸟羽市
'niao'yue'cun 鸟越村
'niu'chuang'ding 牛窓町
'niu'jin'ding 牛津町
'niu'jiu'shi 牛久市
'niu'shen'shi 牛深市
'nv'chuan'ding 女川町
'nv'man'bie'ding 女満别町
'pa'mu'ding 杷木町
'pan'ti'ding 磐梯町
'pan'tian'shi 磐田市
'peng'cang'ding 棚仓町
'peng'tian'cun 蓬田村
'pi'jian'ding 匹见町
'pin'chuan'qu 品川区
'ping'cun 平村
'ping'gu'cun 平谷村
'ping'guan'cun 平舘村
'ping'he'ding 平和町
'ping'he'ding 平贺町
'ping'hu'shi 平戸市
'ping'liang'shi 平良市
'ping'lu'ding 平鹿町
'ping'nei'ding 平内町
'ping'qu'ding 平取町
'ping'quan'ding 平泉町
'ping'qun'ding 平群町
'ping'sheng'ding 平生町
'ping'tian'cun 平田村
'ping'tian'ding 平田町
'ping'tian'shi 平田市
'ping'zhong'shi 平塚市
'po'ding 迫町
'po'wu'ding 粕屋町
'pu'an'shi 浦安市
'pu'chuan'yuan'cun 浦川原村
'pu'dai'cun 普代村
'pu'he'ding 浦河町
'pu'huang'ding 浦幌町
'pu'jiang'ding 蒲江町
'pu'jiu'ding 浦臼町
'pu'jun'shi 蒲郡市
'pu'sheng'ding 蒲生町
'pu'tian'shi 浦添市
'pu'yi'ding 蒲刈町
'pu'yuan'ding 蒲原町
'qi'bang'ding 七浜町
'qi'bao'ding 七宝町
'qi'ben'ding 栖本町
'qi'cheng'ding 七城町
'qi'da'yuan'ding 祁答院町
'qi'fan'ding 七饭町
'qi'fu'shi 岐阜市
'qi'fu'xian 岐阜县
'qi'gao'ding 気高町
'qi'hu'ding 七戸町
'qi'hu'ding 崎戸町
'qi'nan'ding 岐南町
'qi'shan'cun 七山村
'qi'su'ding 七宿町
'qi'su'ding 岐宿町
'qi'wei'shi 七尾市
'qi'xian'zhao'shi 気仙沼市
'qi'yu'xian 埼玉县
'qi'zhong'ding 七塚町
'qi'zong'ding 七宗町
'qian'chuan'ding 浅川町
'qian'dai'tian'ding 千代田町
'qian'dai'tian'qu 千代田区
'qian'ding'ding 千丁町
'qian'jin'jiang'cun 前津江村
'qian'jing'ding 浅井町
'qian'jiu'ding 千厩町
'qian'ke'cun 浅科村
'qian'qiao'shi 前桥市
'qian'shi'ding 千石町
'qian'sui'cun 千歳村
'qian'sui'shi 千歳市
'qian'tian'ding 千畑町
'qian'ye'shi 千叶市
'qian'ye'xian 千叶县
'qian'yu'ding 浅羽町
'qian'yuan'shi 前原市
'qian'zao'chi'ban'cun 千早赤坂村
'qian'ze'ding 前沢町
'qian'zhong'ding 千种町
'qiao'ben'shi 桥本市
'qiao'mu'cun 乔木村
'qin'hai'ding 琴海町
'qin'nan'ding 琴南町
'qin'ping'ding 琴平町
'qin'qiu'ding 琴丘町
'qin'wu'chuan'shi 寝屋川市
'qin'ye'shi 秦野市
'qin'zhuang'ding 秦荘町
'qing'chuan'cun 清川村
'qing'gu'ding 青谷町
'qing'hai'ding 青海町
'qing'he'cun 清和村
'qing'jian'cun 清见村
'qing'jiang'shi 鲭江市
'qing'jing'ze'ding 軽井沢町
'qing'lai'shi 清瀬市
'qing'li'cun 清里村
'qing'li'ding 清里町
'qing'mei'shi 青梅市
'qing'mi'ding 軽米町
'qing'mu'cun 青木村
'qing'nei'lu'cun 清内路村
'qing'sen'shi 青森市
'qing'sen'xian 青森县
'qing'shan'ding 青山町
'qing'shui'ding 清水町
'qing'shui'shi 清水市
'qing'wu'ding 清武町
'qing'ye'qu 青叶区
'qing'yin'cun 清音村
'qing'yuan'ding 青垣町
'qing'zhou'ding 清洲町
'qiu'fang'ding 秋芳町
'qiu'mo'cun 球磨村
'qiu'shan'cun 秋山村
'qiu'shi 萩市
'qiu'sui'ding 秋穂町
'qiu'tian'shi 秋田市
'qiu'tian'xian 秋田县
'qiu'yuan'ding 萩原町
'qiu'ze'ding 鳅沢町
'qu'shou'shi 取手市
'quan'cun 泉村
'quan'da'jin'shi 泉大津市
'quan'nan'shi 泉南市
'quan'qi'cun 泉崎村
'quan'qu 泉区
'quan'shan'shi 犬山市
'quan'si'ding 犬饲町
'quan'zuo'ye'shi 泉佐野市
'que'ding 塙町
'qun'ma'jun 群马郡
'qun'ma'xian 群马县
're'hai'shi 热海市
're'yan'jia'na'cun 热塩加纳村
'ren'dian'cun 仁淀村
'ren'duo'ding 仁多町
'ren'he'bao'ding 仁贺保町
'ren'ji'shi 人吉市
'ren'mo'ding 仁摩町
'ren'mu'ding 仁木町
'ren'wei'ding 仁尾町
'ren'ye'cun 忍野村
'ri'chu'ding 日出町
'ri'gao'cun 日高村
'ri'gao'ding 日高町
'ri'gao'shi 日高市
'ri'guang'shi 日光市
'ri'he'zuo'ding 日和佐町
'ri'ji'cun 日吉村
'ri'ji'ding 日吉町
'ri'ji'jin'cun 日吉津村
'ri'jin'shi 日进市
'ri'li'shi 日立市
'ri'nan'ding 日南町
'ri'nan'shi 日南市
'ri'sheng'ding 日生町
'ri'tian'shi 日田市
'ri'xiang'shi 日向市
'ri'ye'ding 日野町
'ri'ye'shi 日野市
'ri'yi'cun 日义村
'ri'yuan'ding 日原町
'ri'zhi'chuan'ding 日置川町
'ri'zhi'ding 日置町
'ri'zhi'ying'ding 日之影町
'rong'cun 栄村
'rong'ding 栄町
'rong'qu 栄区
'rou'can'ding 宍喰町
'rou'dao'ding 宍道町
'ru'guang'lai'cun 入広瀬村
'ru'jian'jun 入间郡
'ru'jian'shi 入间市
'ru'lai'ding 入来町
'ru'shan'ding 入善町
'rui'lang'shi 瑞浪市
'rui'sui'ding 瑞穂町
'ruo'cao'ding 若草町
'ruo'gong'ding 若宫町
'ruo'liu'ding 若柳町
'ruo'mei'ding 若美町
'ruo'song'ding 若松町
'ruo'ying'ding 若桜町
'sa'mo'ding 萨摩町
'san'ben'mu'ding 三本木町
'san'chong'ding 三重町
'san'chong'xian 三重县
'san'chuan'cun 三川村
'san'chuan'ding 三川町
'san'chun'ding 三春町
'san'ci'shi 三次市
'san'dao'cun 三岛村
'san'dao'ding 三岛町
'san'dao'shi 三岛市
'san'dao'wu'ding 三刀屋町
'san'fang'ding 三方町
'san'fu'cun 三富村
'san'gen'ding 三根町
'san'gu'ding 三股町
'san'guang'cun 三光村
'san'guo'ding 三国町
'san'hao'ding 三好町
'san'he'cun 三和村
'san'he'ding 三和町
'san'he'ding'shen'shi'jun 三和町神石郡
'san'he'ding'shuang'san'jun 三和町双三郡
'san'hu'ding 三戸町
'san'jia'he'ding 三加和町
'san'jia'mao'ding 三加茂町
'san'jian'ding 三间町
'san'jiao'ding 三角町
'san'jing'yue'ding 三井楽町
'san'jiu'cun 三厩村
'san'lai'cun 三瀬村
'san'li'shi 三笠市
'san'liang'ban'ding 三良坂町
'san'lun'ding 三轮町
'san'mu'ding 三木町
'san'mu'shi 三木市
'san'ping'ding 三瓶町
'san'pu'jun 三浦郡
'san'pu'shi 三浦市
'san'qi'ding 三崎町
'san'qiao'ding 三桥町
'san'ri'ding 三日町
'san'ri'yue'ding 三日月町
'san'shi'ding 三石町
'san'shui'cun 三水村
'san'tian'chuan'ding 三田川町
'san'tian'shi 三田市
'san'tiao'shi 三条市
'san'xiang'cun 三郷村
'san'xiang'ding 三郷町
'san'xiang'shi 三郷市
'san'ye'ding 三野町
'san'ying'shi 三鹰市
'san'yu'ding 三隅町
'san'yuan'cun 三原村
'san'yuan'ding 三原町
'san'yuan'shi 三原市
'san'yue'cun 三岳村
'san'yun'ding 三云町
'san'ze'shi 三沢市
'san'zhai'ding 三宅町
'san'zhao'ding 三朝町
'san'zhu'ding 三潴町
'san'zhu'ding 三珠町
'sang'ming'shi 桑名市
'sang'zhe'ding 桑折町
'se'chuan'shi 渋川市
'se'gu'qu 渋谷区
'se'ma'ding 色麻町
'sen'ding 森町
'sen'ji'ding 森吉町
'sen'shan'ding 森山町
'sen'tian'cun 森田村
'sha'chuan'shi 砂川市
'sha'yuan'ding 砂原町
'shan'bei'ding 山北町
'shan'ben'ding 山本町
'shan'bing'qu 杉并区
'shan'cheng'ding 山城町
'shan'chuan'ding 山川町
'shan'dao'ding 山辺町
'shan'dong'ding 山东町
'shan'dou'ding 山都町
'shan'gang'ding 山冈町
'shan'gu'zhi'cun 山古志村
'shan'guo'ding 山国町
'shan'jiang'cun 山江村
'shan'kou'cun 山口村
'shan'kou'shi 山口市
'shan'kou'xian 山口县
'shan'li'shi 山梨市
'shan'li'xian 山梨县
'shan'lu'shi 山鹿市
'shan'nan'ding 山南町
'shan'nei'cun 山内村
'shan'nei'ding 山内町
'shan'qi'ding 山崎町
'shan'qian'ding 苫前町
'shan'shou'cun 山手村
'shan'tian'cun 山添村
'shan'tian'cun 山田村
'shan'tian'ding 山田町
'shan'tian'jun 山田郡
'shan'tian'shi 山田市
'shan'tong'si'shi 善通寺市
'shan'wu'jun 山武郡
'shan'xiang'ding 山香町
'shan'xiao'mu'shi 苫小牧市
'shan'xing'cun 山形村
'shan'xing'shi 山形市
'shan'xing'xian 山形县
'shan'yang'ding 山阳町
'shan'yuan'ding 山元町
'shan'yuan'ding 栅原町
'shan'zhi'kou'ding 山之口町
'shan'zhong'ding 山中町
'shan'zhong'hu'cun 山中湖村
'shang'ban'ding 上板町
'shang'bao'cun 上宝村
'shang'bei'ding 上北町
'shang'bei'shan'cun 上北山村
'shang'chuan'cun 上川村
'shang'chuan'ding 上川町
'shang'cun 上村
